trial_number,1,2,3,4,5,6,7,8,9,10
1,5,4,5,1,5,4,2,4,5,5
2,5,5,4,2,5,4,3,4,5,5
3,5,5,4,1,5,4,1,2,4,5
4,5,5,5,5,5,4,2,4,5,5
5,5,4,4,3,5,4,2,4,5,5
6,4,5,5,2,5,4,1,4,5,5
7,5,3,4,5,5,4,2,5,4,5
8,5,5,4,2,5,4,2,2,5,5
9,5,4,5,2,5,4,2,2,5,5
10,4,5,4,5,5,4,2,4,5,5
11,4,4,4,2,5,4,2,2,5,5
12,5,5,5,3,5,4,3,2,5,5
13,5,5,5,2,5,4,1,4,5,5
14,5,2,5,2,5,4,1,4,5,5
15,5,5,5,1,5,4,1,4,5,5
16,4,5,4,2,5,4,1,4,5,5
17,5,4,5,2,5,4,3,4,5,5
18,5,5,3,2,5,5,1,5,4,5
19,5,5,3,2,5,5,3,4,4,5
20,5,5,4,5,5,4,2,4,5,5
21,5,4,5,5,5,4,2,4,5,5
22,5,4,5,2,5,4,2,4,4,5
23,5,3,5,1,5,5,2,4,5,5
24,5,4,5,1,5,4,2,5,5,5
25,5,4,5,2,5,4,1,2,4,5
26,4,4,5,4,5,4,3,4,5,5
27,5,5,5,1,5,4,2,4,5,5
28,5,4,4,2,5,4,2,4,5,5
29,4,5,4,1,5,4,2,4,5,5
30,5,4,4,2,5,4,1,2,4,5
31,5,5,5,2,5,5,2,4,5,5
32,5,5,5,2,5,4,2,2,4,5
33,4,5,4,2,5,4,2,4,4,4
34,5,5,4,1,5,4,2,4,4,5
35,4,4,5,2,5,4,4,2,5,5
36,5,5,5,1,5,4,2,4,5,5
37,5,5,4,2,5,4,1,1,5,5
38,5,3,4,5,5,5,2,4,5,5
39,5,4,5,2,5,4,3,4,5,5
40,5,4,5,5,5,4,2,4,5,5
41,5,4,5,3,5,4,2,5,5,5
42,5,5,5,2,5,4,3,3,5,5
43,5,5,4,2,5,4,2,2,5,5
44,5,5,4,1,5,5,2,4,5,5
45,5,5,4,3,5,4,2,4,5,4
46,5,5,5,1,5,4,2,2,5,5
47,5,5,3,2,5,4,2,4,5,5
48,5,4,5,2,5,5,1,4,4,5
49,4,5,4,2,5,5,2,4,5,5
50,5,5,4,1,5,4,1,4,5,5
